Fecha De Entrega,Nombre Producto,SUM de Precio
01/01/2022,V3," $12,000,000"
22/04/2022,Mini MATT," $5,800,000"
09/05/2022,V4, $0
27/05/2022,V4, $0
28/05/2022,V4," $9,000,000"
04/06/2022,V4, $0
01/08/2022,V6, $0
10/08/2022,V3," $8,000,000"
19/08/2022,V4, $0
01/09/2022,V6, $0
31/12/2022,TP," $72,800,000"
01/01/2023,V6, $0
16/01/2023,V6," $11,500,000"
27/01/2023,V6," $9,000,000"
23/03/2023,V6," $9,900,000"
12/04/2023,V3, $0
17/04/2023,V3," $7,000,000"
26/05/2023,V6," $9,900,000"
06/06/2023,V6," $9,900,000"
09/06/2023,V6," $9,900,000"
28/06/2023,V3," $7,000,000"
10/07/2023,V3, $0
05/08/2023,V6," $5,000,000"
29/08/2023,V3, $0
19/09/2023,V6," $9,900,000"
23/09/2023,V6," $11,200,000"
25/10/2023,V6," $7,920,000"
01/11/2023,M1," $4,462,500"
08/11/2023,V6," $7,920,000"
10/11/2023,V6," $7,920,000"
23/11/2023,V6," $9,900,000"
24/11/2023,V6," $15,345,000"
05/12/2023,M1," $7,500,000"
11/12/2023,M1," $7,796,250"
11/12/2023,V6," $7,425,000"
15/12/2023,V6," $23,760,000"
18/12/2023,V3, $0
28/12/2023,V4," $7,425,000"
28/12/2023,V6," $7,425,000"
30/12/2023,V6," $7,920,000"
12/01/2024,V6," $7,920,000"
17/01/2024,V4," $7,920,000"
29/01/2024,V3," $8,910,000"
01/02/2024,V3," $81,900"
08/02/2024,V4," $8,910,000"
14/02/2024,V4," $9,900,000"
29/02/2024,V4," $9,900,000"
01/03/2024,V4," $8,910,000"
06/03/2024,V4," $9,900,000"
11/03/2024,V4," $8,910,000"
14/03/2024,V6," $8,910,000"
03/04/2024,V4," $9,900,000"
29/04/2024,V4," $8,910,000"
30/04/2024,V4," $8,910,000"
02/05/2024,V6," $8,910,000"
05/05/2024,V6," $9,000,000"
06/05/2024,M1," $9,355,500"
15/05/2024,V3," $9,900,000"
23/05/2024,V3," $8,910,000"
24/05/2024,V3," $8,910,000"
07/06/2024,V4," $8,910,000"
20/06/2024,V4," $8,910,000"
21/06/2024,V6," $10,400,000"
27/06/2024,V4," $9,900,000"
10/07/2024,V4," $8,000,000"
12/07/2024,V4," $9,900,000"
16/07/2024,V6," $9,900,000"
19/07/2024,V4," $9,900,000"